Time,Open,High,Low,Close
2021-01-03 17:00:00,1.36455,1.36515,1.36455,1.36492
2021-01-03 17:05:00,1.36509,1.36514,1.36454,1.36487
2021-01-03 17:10:00,1.36489,1.36501,1.36469,1.3649
2021-01-03 17:15:00,1.3649,1.36498,1.36483,1.36489
2021-01-03 17:20:00,1.36489,1.36621,1.36489,1.36537
2021-01-03 17:25:00,1.36537,1.36627,1.36537,1.36541
2021-01-03 17:30:00,1.3654,1.36551,1.36529,1.36545
2021-01-03 17:35:00,1.36544,1.3655,1.36542,1.36544
2021-01-03 17:40:00,1.36545,1.36545,1.36537,1.36544
2021-01-03 17:45:00,1.36544,1.36569,1.36538,1.36548
2021-01-03 17:50:00,1.36564,1.3662,1.3655,1.36567
2021-01-03 17:55:00,1.36566,1.3659,1.36553,1.36589
2021-01-03 18:00:00,1.36589,1.36637,1.36567,1.36567
2021-01-03 18:05:00,1.36567,1.36628,1.3656,1.36623
2021-01-03 18:10:00,1.36624,1.36649,1.36581,1.36644
2021-01-03 18:15:00,1.36644,1.36663,1.36625,1.36625
2021-01-03 18:20:00,1.36627,1.36646,1.36596,1.36643
2021-01-03 18:25:00,1.36645,1.36691,1.36634,1.36684
2021-01-03 18:30:00,1.36683,1.36749,1.36673,1.36737
2021-01-03 18:35:00,1.36737,1.36758,1.36705,1.36758
2021-01-03 18:40:00,1.36758,1.36817,1.36758,1.36787
2021-01-03 18:45:00,1.36786,1.36818,1.36748,1.36809
2021-01-03 18:50:00,1.3681,1.36812,1.36786,1.36809
2021-01-03 18:55:00,1.36809,1.36831,1.368,1.36803
2021-01-03 19:00:00,1.36809,1.36832,1.36702,1.36703
2021-01-03 19:05:00,1.3671,1.36745,1.36662,1.3673
2021-01-03 19:10:00,1.36728,1.36742,1.36708,1.36725
2021-01-03 19:15:00,1.36726,1.3673,1.36675,1.36707
2021-01-03 19:20:00,1.36709,1.36718,1.36662,1.36672
2021-01-03 19:25:00,1.36671,1.36686,1.36657,1.36659
2021-01-03 19:30:00,1.36661,1.36662,1.36614,1.36629
